"","cohesion","aggregation","p0","param","coverage","Model"
"173","1",4,"0.2","N",0.47,"SPIM: sexcollarcoat"
"174","1",4,"0.2","sigma",0.84,"SPIM: sexcollarcoat"
"175","1",10,"0.05","N",0.4,"SPIM: sexcollarcoat"
"176","1",10,"0.05","sigma",0.82,"SPIM: sexcollarcoat"
"177","1",10,"0.2","N",0.26,"SPIM: sexcollarcoat"
"178","1",10,"0.2","sigma",0.57,"SPIM: sexcollarcoat"
"179","0",1,"0.05","N",0.91,"SPIM: antlerssexcollarcoat"
"180","0",1,"0.05","sigma",0.97,"SPIM: antlerssexcollarcoat"
"181","0",1,"0.2","N",0.95,"SPIM: antlerssexcollarcoat"
"182","0",1,"0.2","sigma",0.95,"SPIM: antlerssexcollarcoat"
"183","0",4,"0.05","N",0.87,"SPIM: antlerssexcollarcoat"
"184","0",4,"0.05","sigma",0.94,"SPIM: antlerssexcollarcoat"
"185","0",4,"0.2","N",0.8,"SPIM: antlerssexcollarcoat"
"186","0",4,"0.2","sigma",0.93,"SPIM: antlerssexcollarcoat"
"187","0",10,"0.05","N",0.86,"SPIM: antlerssexcollarcoat"
"188","0",10,"0.05","sigma",0.98,"SPIM: antlerssexcollarcoat"
"189","0",10,"0.2","N",0.62,"SPIM: antlerssexcollarcoat"
"190","0",10,"0.2","sigma",0.92,"SPIM: antlerssexcollarcoat"
"191","0.3",4,"0.05","N",0.9,"SPIM: antlerssexcollarcoat"
"192","0.3",4,"0.05","sigma",0.99,"SPIM: antlerssexcollarcoat"
"193","0.3",4,"0.2","N",0.87,"SPIM: antlerssexcollarcoat"
"194","0.3",4,"0.2","sigma",0.86,"SPIM: antlerssexcollarcoat"
"195","0.3",10,"0.05","N",0.82,"SPIM: antlerssexcollarcoat"
"196","0.3",10,"0.05","sigma",0.97,"SPIM: antlerssexcollarcoat"
"197","0.3",10,"0.2","N",0.65,"SPIM: antlerssexcollarcoat"
"198","0.3",10,"0.2","sigma",0.88,"SPIM: antlerssexcollarcoat"
"199","0.67",4,"0.05","N",0.82,"SPIM: antlerssexcollarcoat"
"200","0.67",4,"0.05","sigma",0.88,"SPIM: antlerssexcollarcoat"
